2025-06-11 13:51:50,738 - INFO - [2025-06-11 13:51:50] Servidor escuchando en 0.0.0.0:65432...
2025-06-11 13:54:07,539 - INFO - [2025-06-11 13:54:07] Conectado por 192.168.1.4:52883
2025-06-11 13:54:07,539 - INFO - [2025-06-11 13:54:07.539] Recibido de 192.168.1.4:52883: Hola, soy el paquete Lenox Legends v2.0-001
2025-06-11 13:54:07,540 - INFO - [2025-06-11 13:54:07.539] Enviado a 192.168.1.4:52883: ACK: Hola, soy el paquete Lenox Legends v2.0-001
2025-06-11 13:54:08,557 - INFO - [2025-06-11 13:54:08.557] Recibido de 192.168.1.4:52883: Hola, soy el paquete Lenox Legends v2.0-002
2025-06-11 13:54:08,558 - INFO - [2025-06-11 13:54:08.558] Enviado a 192.168.1.4:52883: ACK: Hola, soy el paquete Lenox Legends v2.0-002
2025-06-11 13:54:09,581 - INFO - [2025-06-11 13:54:09.581] Recibido de 192.168.1.4:52883: Hola, soy el paquete Lenox Legends v2.0-003
2025-06-11 13:54:09,582 - INFO - [2025-06-11 13:54:09.582] Enviado a 192.168.1.4:52883: ACK: Hola, soy el paquete Lenox Legends v2.0-003
2025-06-11 13:54:10,605 - INFO - [2025-06-11 13:54:10.605] Recibido de 192.168.1.4:52883: Hola, soy el paquete Lenox Legends v2.0-004
2025-06-11 13:54:10,606 - INFO - [2025-06-11 13:54:10.606] Enviado a 192.168.1.4:52883: ACK: Hola, soy el paquete Lenox Legends v2.0-004
2025-06-11 13:54:11,631 - INFO - [2025-06-11 13:54:11.630] Recibido de 192.168.1.4:52883: Hola, soy el paquete Lenox Legends v2.0-005
2025-06-11 13:54:11,631 - INFO - [2025-06-11 13:54:11.631] Enviado a 192.168.1.4:52883: ACK: Hola, soy el paquete Lenox Legends v2.0-005
2025-06-11 13:54:11,634 - INFO - [2025-06-11 13:54:11] Cliente 192.168.1.4:52883 cerró la conexión.
2025-06-11 13:54:11,634 - INFO - [2025-06-11 13:54:11] Desconectado de 192.168.1.4:52883
2025-06-11 14:11:50,286 - INFO - [2025-06-11 14:11:50] Servidor escuchando en 0.0.0.0:65432...
2025-06-11 14:11:58,042 - INFO - [2025-06-11 14:11:58] Conectado por 192.168.1.4:53580
2025-06-11 14:11:58,042 - INFO - [2025-06-11 14:11:58.042] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-001
2025-06-11 14:11:58,043 - INFO - [2025-06-11 14:11:58.043] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-001
2025-06-11 14:11:59,062 - INFO - [2025-06-11 14:11:59.062] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-002
2025-06-11 14:11:59,063 - INFO - [2025-06-11 14:11:59.062] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-002
2025-06-11 14:12:00,086 - INFO - [2025-06-11 14:12:00.086] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-003
2025-06-11 14:12:00,087 - INFO - [2025-06-11 14:12:00.087] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-003
2025-06-11 14:12:01,111 - INFO - [2025-06-11 14:12:01.111] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-004
2025-06-11 14:12:01,112 - INFO - [2025-06-11 14:12:01.112] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-004
2025-06-11 14:12:02,134 - INFO - [2025-06-11 14:12:02.134] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-005
2025-06-11 14:12:02,135 - INFO - [2025-06-11 14:12:02.134] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-005
2025-06-11 14:12:03,159 - INFO - [2025-06-11 14:12:03.159] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-006
2025-06-11 14:12:03,159 - INFO - [2025-06-11 14:12:03.159] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-006
2025-06-11 14:12:04,182 - INFO - [2025-06-11 14:12:04.182] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-007
2025-06-11 14:12:04,182 - INFO - [2025-06-11 14:12:04.182] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-007
2025-06-11 14:12:05,206 - INFO - [2025-06-11 14:12:05.206] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-008
2025-06-11 14:12:05,206 - INFO - [2025-06-11 14:12:05.206] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-008
2025-06-11 14:12:06,230 - INFO - [2025-06-11 14:12:06.230] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-009
